,nasid,position,ts,mac,controllerid,pwr,count
0,4014,center,2017-12-27 07:16:39,d0:b3:3f:ce:be:a9,[10],[-85.0],1
1,4014,center,2017-12-27 07:16:47,d0:b3:3f:ce:be:a9,[10],[-87.0],1
2,4014,center,2017-12-27 07:16:53,d0:b3:3f:ce:be:a9,[10],[-79.94117647058823],1
3,4014,center,2017-12-27 07:16:58,d0:b3:3f:ce:be:a9,[10],[-77.58333333333333],1
4,4014,center,2017-12-27 07:17:02,d0:b3:3f:ce:be:a9,[10],[-78.27777777777777],1
5,4014,center,2017-12-27 07:17:07,d0:b3:3f:ce:be:a9,[10],[-77.35],1
6,4014,center,2017-12-27 07:17:11,d0:b3:3f:ce:be:a9,[10],[-77.47368421052632],1
7,4014,center,2017-12-27 07:17:16,d0:b3:3f:ce:be:a9,[11],[-80.0],1
8,4014,center,2017-12-27 07:17:17,d0:b3:3f:ce:be:a9,[10],[-74.32432432432432],1
9,4014,center,2017-12-27 07:17:21,d0:b3:3f:ce:be:a9,[10],[-73.43478260869566],1
10,4014,center,2017-12-27 07:17:23,d0:b3:3f:ce:be:a9,[11],[-82.16666666666667],1
11,4014,center,2017-12-27 07:17:24,d0:b3:3f:ce:be:a9,[12],[-85.0],1
12,4014,center,2017-12-27 07:17:25,d0:b3:3f:ce:be:a9,[10],[-71.58620689655173],1
13,4014,center,2017-12-27 07:17:31,d0:b3:3f:ce:be:a9,[11],[-82.875],1
14,4014,center,2017-12-27 07:17:33,d0:b3:3f:ce:be:a9,[10],[-77.73529411764706],1
15,4014,center,2017-12-27 07:17:38,d0:b3:3f:ce:be:a9,[8],[-85.0],1
16,4014,center,2017-12-27 07:17:39,d0:b3:3f:ce:be:a9,[11],[-79.71428571428571],1
17,4014,center,2017-12-27 07:17:40,d0:b3:3f:ce:be:a9,[10],[-82.14285714285714],1
18,4014,center,2017-12-27 07:17:44,d0:b3:3f:ce:be:a9,[10],[-84.0],1
19,4014,center,2017-12-27 07:17:45,d0:b3:3f:ce:be:a9,"[8, 11]","[-83.16666666666667, -78.875]",2
20,4014,center,2017-12-27 07:17:49,d0:b3:3f:ce:be:a9,[10],[-83.33333333333333],1
21,4014,center,2017-12-27 07:17:54,d0:b3:3f:ce:be:a9,[8],[-86.0],1
22,4014,center,2017-12-27 07:17:55,d0:b3:3f:ce:be:a9,[11],[-82.33333333333333],1
23,4014,center,2017-12-27 07:17:56,d0:b3:3f:ce:be:a9,[10],[-81.0],1
24,4014,center,2017-12-27 07:18:01,d0:b3:3f:ce:be:a9,[8],[-79.53125],1
25,4014,center,2017-12-27 07:18:04,d0:b3:3f:ce:be:a9,"[9, 10, 11]","[-81.9, -86.0, -83.14285714285714]",3
26,4014,center,2017-12-27 07:18:05,d0:b3:3f:ce:be:a9,[12],[-86.0],1
27,4014,center,2017-12-27 07:18:08,d0:b3:3f:ce:be:a9,[8],[-78.53125],1
28,4014,center,2017-12-27 07:18:11,d0:b3:3f:ce:be:a9,[9],[-82.33333333333333],1
29,4014,center,2017-12-27 07:18:13,d0:b3:3f:ce:be:a9,[12],[-87.0],1
30,4014,center,2017-12-27 07:18:14,d0:b3:3f:ce:be:a9,"[8, 13]","[-78.52, -87.0]",2
31,4014,center,2017-12-27 07:18:19,d0:b3:3f:ce:be:a9,[9],[-83.5],1
32,4014,center,2017-12-27 07:18:20,d0:b3:3f:ce:be:a9,[8],[-79.57142857142857],1
33,4014,center,2017-12-27 07:18:21,d0:b3:3f:ce:be:a9,"[12, 13]","[-84.0, -84.2]",2
34,4014,center,2017-12-27 07:18:25,d0:b3:3f:ce:be:a9,"[8, 9, 12]","[-77.04761904761905, -84.0, -82.0]",3
35,4014,center,2017-12-27 07:18:27,d0:b3:3f:ce:be:a9,[13],[-87.0],1
36,4014,center,2017-12-27 07:18:37,d0:b3:3f:ce:be:a9,[8],[-79.88888888888889],1
37,4014,center,2017-12-27 07:18:39,d0:b3:3f:ce:be:a9,"[12, 14]","[-81.5, -82.5]",2
38,4014,center,2017-12-27 07:18:41,d0:b3:3f:ce:be:a9,[13],[-82.625],1
39,4014,center,2017-12-27 07:18:44,d0:b3:3f:ce:be:a9,[8],[-86.0],1
40,4014,center,2017-12-27 07:18:47,d0:b3:3f:ce:be:a9,"[12, 13]","[-83.5, -75.82926829268293]",2
41,4014,center,2017-12-27 07:18:50,d0:b3:3f:ce:be:a9,[8],[-82.0],1
42,4014,center,2017-12-27 07:18:52,d0:b3:3f:ce:be:a9,[10],[-86.0],1
43,4014,center,2017-12-27 07:18:54,d0:b3:3f:ce:be:a9,[13],[-73.81481481481481],1
44,4014,center,2017-12-27 07:18:55,d0:b3:3f:ce:be:a9,[12],[-79.17857142857143],1
45,4014,center,2017-12-27 07:18:58,d0:b3:3f:ce:be:a9,"[8, 10]","[-82.95, -85.5]",2
46,4014,center,2017-12-27 07:19:02,d0:b3:3f:ce:be:a9,[13],[-74.73333333333333],1
47,4014,center,2017-12-27 07:19:04,d0:b3:3f:ce:be:a9,[12],[-83.04545454545455],1
48,4014,center,2017-12-27 07:19:06,d0:b3:3f:ce:be:a9,"[8, 10]","[-84.3076923076923, -83.42857142857143]",2
49,4014,center,2017-12-27 07:19:11,d0:b3:3f:ce:be:a9,"[12, 13]","[-88.0, -79.5625]",2
50,4014,center,2017-12-27 07:33:51,d0:b3:3f:ce:be:a9,[10],[-82.2],1
51,4014,center,2017-12-27 07:33:55,d0:b3:3f:ce:be:a9,[13],[-79.6086956521739],1
52,4014,center,2017-12-27 07:33:57,d0:b3:3f:ce:be:a9,[10],[-80.25],1
53,4014,center,2017-12-27 07:34:04,d0:b3:3f:ce:be:a9,"[10, 13]","[-81.71428571428571, -83.0]",2
54,4014,center,2017-12-27 07:34:10,d0:b3:3f:ce:be:a9,[13],[-84.5],1
55,4014,center,2017-12-27 07:34:11,d0:b3:3f:ce:be:a9,[10],[-81.66666666666667],1
56,4014,center,2017-12-27 07:34:17,d0:b3:3f:ce:be:a9,[13],[-84.25],1
57,4014,center,2017-12-27 07:50:43,d0:b3:3f:ce:be:a9,[10],[-86.5],1
58,4014,center,2017-12-27 07:50:51,d0:b3:3f:ce:be:a9,[10],[-85.0],1
59,4014,center,2017-12-27 07:50:58,d0:b3:3f:ce:be:a9,[10],[-84.66666666666667],1
60,4014,center,2017-12-27 07:51:04,d0:b3:3f:ce:be:a9,[10],[-83.52941176470588],1
61,4014,center,2017-12-27 07:51:11,d0:b3:3f:ce:be:a9,[10],[-85.57142857142857],1
62,4014,center,2017-12-27 07:51:19,d0:b3:3f:ce:be:a9,[10],[-84.1470588235294],1
63,4014,center,2017-12-27 07:51:24,d0:b3:3f:ce:be:a9,[10],[-84.26666666666667],1
64,4014,center,2017-12-27 07:51:29,d0:b3:3f:ce:be:a9,[10],[-83.58333333333333],1
65,4014,center,2017-12-27 07:51:36,d0:b3:3f:ce:be:a9,[10],[-81.47058823529412],1
66,4014,center,2017-12-27 07:51:39,d0:b3:3f:ce:be:a9,[10],[-81.375],1
67,4014,center,2017-12-27 07:51:46,d0:b3:3f:ce:be:a9,[10],[-80.15384615384616],1
68,4014,center,2017-12-27 07:51:51,d0:b3:3f:ce:be:a9,[10],[-79.58620689655173],1
69,4014,center,2017-12-27 07:51:56,d0:b3:3f:ce:be:a9,"[10, 11]","[-79.03703703703704, -86.0]",2
70,4014,center,2017-12-27 07:52:01,d0:b3:3f:ce:be:a9,[10],[-77.5],1
71,4014,center,2017-12-27 07:52:05,d0:b3:3f:ce:be:a9,"[10, 11]","[-75.51282051282051, -86.22222222222223]",2
72,4014,center,2017-12-27 07:52:11,d0:b3:3f:ce:be:a9,[10],[-75.41935483870968],1
73,4014,center,2017-12-27 07:52:12,d0:b3:3f:ce:be:a9,[11],[-85.58333333333333],1
74,4014,center,2017-12-27 07:52:15,d0:b3:3f:ce:be:a9,[10],[-75.13888888888889],1
75,4014,center,2017-12-27 07:52:19,d0:b3:3f:ce:be:a9,[11],[-84.55555555555556],1
76,4014,center,2017-12-27 07:52:20,d0:b3:3f:ce:be:a9,[10],[-74.43478260869566],1
77,4014,center,2017-12-27 07:52:22,d0:b3:3f:ce:be:a9,[8],[-88.0],1
78,4014,center,2017-12-27 07:52:26,d0:b3:3f:ce:be:a9,[10],[-73.36363636363636],1
79,4014,center,2017-12-27 07:52:27,d0:b3:3f:ce:be:a9,[11],[-82.3529411764706],1
80,4014,center,2017-12-27 07:52:30,d0:b3:3f:ce:be:a9,[12],[-84.25],1
81,4014,center,2017-12-27 07:52:31,d0:b3:3f:ce:be:a9,[8],[-85.5],1
82,4014,center,2017-12-27 07:52:33,d0:b3:3f:ce:be:a9,[10],[-72.78571428571429],1
83,4014,center,2017-12-27 07:52:34,d0:b3:3f:ce:be:a9,[11],[-82.05555555555556],1
84,4014,center,2017-12-27 07:52:37,d0:b3:3f:ce:be:a9,[12],[-83.16666666666667],1
85,4014,center,2017-12-27 07:52:38,d0:b3:3f:ce:be:a9,[8],[-86.16666666666667],1
